trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,input_class,accuracy,batch_pos,batch_neg,different/different,different/same,same/same,same/different
1,0,25,50,0.0001,0.01,different/different,0.0,0,0,0.0,1.0,0.008,1.0
1,0,25,50,0.0001,0.01,different/same,1.0,0,0,0.0,1.0,0.008,1.0
1,0,25,50,0.0001,0.01,same/same,0.008,0,0,0.0,1.0,0.008,1.0
1,0,25,50,0.0001,0.01,same/different,1.0,0,0,0.0,1.0,0.008,1.0
1,104,25,50,0.0001,0.01,different/different,0.208,51,53,0.208,0.952,0.216,0.904
1,104,25,50,0.0001,0.01,different/same,0.952,51,53,0.208,0.952,0.216,0.904
1,104,25,50,0.0001,0.01,same/same,0.216,51,53,0.208,0.952,0.216,0.904
1,104,25,50,0.0001,0.01,same/different,0.904,51,53,0.208,0.952,0.216,0.904
1,204,25,50,0.0001,0.01,different/different,0.968,100,104,0.968,0.192,0.944,0.104
1,204,25,50,0.0001,0.01,different/same,0.192,100,104,0.968,0.192,0.944,0.104
1,204,25,50,0.0001,0.01,same/same,0.944,100,104,0.968,0.192,0.944,0.104
1,204,25,50,0.0001,0.01,same/different,0.104,100,104,0.968,0.192,0.944,0.104
1,304,25,50,0.0001,0.01,different/different,0.272,158,146,0.272,0.896,0.528,0.712
1,304,25,50,0.0001,0.01,different/same,0.896,158,146,0.272,0.896,0.528,0.712
1,304,25,50,0.0001,0.01,same/same,0.528,158,146,0.272,0.896,0.528,0.712
1,304,25,50,0.0001,0.01,same/different,0.712,158,146,0.272,0.896,0.528,0.712
1,404,25,50,0.0001,0.01,different/different,0.304,210,194,0.304,0.88,0.44,0.76
1,404,25,50,0.0001,0.01,different/same,0.88,210,194,0.304,0.88,0.44,0.76
1,404,25,50,0.0001,0.01,same/same,0.44,210,194,0.304,0.88,0.44,0.76
1,404,25,50,0.0001,0.01,same/different,0.76,210,194,0.304,0.88,0.44,0.76
1,504,25,50,0.0001,0.01,different/different,0.84,267,237,0.84,0.368,0.88,0.256
1,504,25,50,0.0001,0.01,different/same,0.368,267,237,0.84,0.368,0.88,0.256
1,504,25,50,0.0001,0.01,same/same,0.88,267,237,0.84,0.368,0.88,0.256
1,504,25,50,0.0001,0.01,same/different,0.256,267,237,0.84,0.368,0.88,0.256
1,604,25,50,0.0001,0.01,different/different,0.648,319,285,0.648,0.648,0.672,0.648
1,604,25,50,0.0001,0.01,different/same,0.648,319,285,0.648,0.648,0.672,0.648
1,604,25,50,0.0001,0.01,same/same,0.672,319,285,0.648,0.648,0.672,0.648
1,604,25,50,0.0001,0.01,same/different,0.648,319,285,0.648,0.648,0.672,0.648
1,704,25,50,0.0001,0.01,different/different,0.544,371,333,0.544,0.784,0.496,0.8
1,704,25,50,0.0001,0.01,different/same,0.784,371,333,0.544,0.784,0.496,0.8
1,704,25,50,0.0001,0.01,same/same,0.496,371,333,0.544,0.784,0.496,0.8
1,704,25,50,0.0001,0.01,same/different,0.8,371,333,0.544,0.784,0.496,0.8
1,804,25,50,0.0001,0.01,different/different,0.712,420,384,0.712,0.592,0.744,0.624
1,804,25,50,0.0001,0.01,different/same,0.592,420,384,0.712,0.592,0.744,0.624
1,804,25,50,0.0001,0.01,same/same,0.744,420,384,0.712,0.592,0.744,0.624
1,804,25,50,0.0001,0.01,same/different,0.624,420,384,0.712,0.592,0.744,0.624
1,904,25,50,0.0001,0.01,different/different,0.672,479,425,0.672,0.688,0.656,0.784
1,904,25,50,0.0001,0.01,different/same,0.688,479,425,0.672,0.688,0.656,0.784
1,904,25,50,0.0001,0.01,same/same,0.656,479,425,0.672,0.688,0.656,0.784
1,904,25,50,0.0001,0.01,same/different,0.784,479,425,0.672,0.688,0.656,0.784
1,1004,25,50,0.0001,0.01,different/different,0.616,530,474,0.616,0.736,0.688,0.832
1,1004,25,50,0.0001,0.01,different/same,0.736,530,474,0.616,0.736,0.688,0.832
1,1004,25,50,0.0001,0.01,same/same,0.688,530,474,0.616,0.736,0.688,0.832
1,1004,25,50,0.0001,0.01,same/different,0.832,530,474,0.616,0.736,0.688,0.832
1,1104,25,50,0.0001,0.01,different/different,0.736,575,529,0.736,0.672,0.784,0.744
1,1104,25,50,0.0001,0.01,different/same,0.672,575,529,0.736,0.672,0.784,0.744
1,1104,25,50,0.0001,0.01,same/same,0.784,575,529,0.736,0.672,0.784,0.744
1,1104,25,50,0.0001,0.01,same/different,0.744,575,529,0.736,0.672,0.784,0.744
1,1204,25,50,0.0001,0.01,different/different,0.696,619,585,0.696,0.8,0.752,0.832
1,1204,25,50,0.0001,0.01,different/same,0.8,619,585,0.696,0.8,0.752,0.832
1,1204,25,50,0.0001,0.01,same/same,0.752,619,585,0.696,0.8,0.752,0.832
1,1204,25,50,0.0001,0.01,same/different,0.832,619,585,0.696,0.8,0.752,0.832
1,1304,25,50,0.0001,0.01,different/different,0.792,665,639,0.792,0.768,0.808,0.84
1,1304,25,50,0.0001,0.01,different/same,0.768,665,639,0.792,0.768,0.808,0.84
1,1304,25,50,0.0001,0.01,same/same,0.808,665,639,0.792,0.768,0.808,0.84
1,1304,25,50,0.0001,0.01,same/different,0.84,665,639,0.792,0.768,0.808,0.84
1,1404,25,50,0.0001,0.01,different/different,0.776,715,689,0.776,0.808,0.808,0.888
1,1404,25,50,0.0001,0.01,different/same,0.808,715,689,0.776,0.808,0.808,0.888
1,1404,25,50,0.0001,0.01,same/same,0.808,715,689,0.776,0.808,0.808,0.888
1,1404,25,50,0.0001,0.01,same/different,0.888,715,689,0.776,0.808,0.808,0.888
1,1504,25,50,0.0001,0.01,different/different,0.8,768,736,0.8,0.816,0.848,0.872
1,1504,25,50,0.0001,0.01,different/same,0.816,768,736,0.8,0.816,0.848,0.872
1,1504,25,50,0.0001,0.01,same/same,0.848,768,736,0.8,0.816,0.848,0.872
1,1504,25,50,0.0001,0.01,same/different,0.872,768,736,0.8,0.816,0.848,0.872
1,1604,25,50,0.0001,0.01,different/different,0.776,819,785,0.776,0.864,0.856,0.92
1,1604,25,50,0.0001,0.01,different/same,0.864,819,785,0.776,0.864,0.856,0.92
1,1604,25,50,0.0001,0.01,same/same,0.856,819,785,0.776,0.864,0.856,0.92
1,1604,25,50,0.0001,0.01,same/different,0.92,819,785,0.776,0.864,0.856,0.92
1,1704,25,50,0.0001,0.01,different/different,0.8,869,835,0.8,0.848,0.904,0.92
1,1704,25,50,0.0001,0.01,different/same,0.848,869,835,0.8,0.848,0.904,0.92
1,1704,25,50,0.0001,0.01,same/same,0.904,869,835,0.8,0.848,0.904,0.92
1,1704,25,50,0.0001,0.01,same/different,0.92,869,835,0.8,0.848,0.904,0.92
1,1804,25,50,0.0001,0.01,different/different,0.816,922,882,0.816,0.864,0.888,0.936
1,1804,25,50,0.0001,0.01,different/same,0.864,922,882,0.816,0.864,0.888,0.936
1,1804,25,50,0.0001,0.01,same/same,0.888,922,882,0.816,0.864,0.888,0.936
1,1804,25,50,0.0001,0.01,same/different,0.936,922,882,0.816,0.864,0.888,0.936
1,1904,25,50,0.0001,0.01,different/different,0.872,975,929,0.872,0.872,0.904,0.928
1,1904,25,50,0.0001,0.01,different/same,0.872,975,929,0.872,0.872,0.904,0.928
1,1904,25,50,0.0001,0.01,same/same,0.904,975,929,0.872,0.872,0.904,0.928
1,1904,25,50,0.0001,0.01,same/different,0.928,975,929,0.872,0.872,0.904,0.928
2,0,25,50,0.0001,0.01,same/different,1.0,0,0,0.0,1.0,0.008,1.0
2,0,25,50,0.0001,0.01,different/different,0.0,0,0,0.0,1.0,0.008,1.0
2,0,25,50,0.0001,0.01,same/same,0.008,0,0,0.0,1.0,0.008,1.0
2,0,25,50,0.0001,0.01,different/same,1.0,0,0,0.0,1.0,0.008,1.0
2,104,25,50,0.0001,0.01,same/different,0.888,56,48,0.152,0.872,0.288,0.888
2,104,25,50,0.0001,0.01,different/different,0.152,56,48,0.152,0.872,0.288,0.888
2,104,25,50,0.0001,0.01,same/same,0.288,56,48,0.152,0.872,0.288,0.888
2,104,25,50,0.0001,0.01,different/same,0.872,56,48,0.152,0.872,0.288,0.888
2,204,25,50,0.0001,0.01,same/different,0.08,109,95,0.952,0.032,0.976,0.08
2,204,25,50,0.0001,0.01,different/different,0.952,109,95,0.952,0.032,0.976,0.08
2,204,25,50,0.0001,0.01,same/same,0.976,109,95,0.952,0.032,0.976,0.08
2,204,25,50,0.0001,0.01,different/same,0.032,109,95,0.952,0.032,0.976,0.08
2,304,25,50,0.0001,0.01,same/different,0.568,163,141,0.536,0.48,0.728,0.568
2,304,25,50,0.0001,0.01,different/different,0.536,163,141,0.536,0.48,0.728,0.568
2,304,25,50,0.0001,0.01,same/same,0.728,163,141,0.536,0.48,0.728,0.568
2,304,25,50,0.0001,0.01,different/same,0.48,163,141,0.536,0.48,0.728,0.568
2,404,25,50,0.0001,0.01,same/different,0.744,212,192,0.312,0.776,0.384,0.744
2,404,25,50,0.0001,0.01,different/different,0.312,212,192,0.312,0.776,0.384,0.744
2,404,25,50,0.0001,0.01,same/same,0.384,212,192,0.312,0.776,0.384,0.744
2,404,25,50,0.0001,0.01,different/same,0.776,212,192,0.312,0.776,0.384,0.744
2,504,25,50,0.0001,0.01,same/different,0.32,267,237,0.736,0.512,0.664,0.32
2,504,25,50,0.0001,0.01,different/different,0.736,267,237,0.736,0.512,0.664,0.32
2,504,25,50,0.0001,0.01,same/same,0.664,267,237,0.736,0.512,0.664,0.32
2,504,25,50,0.0001,0.01,different/same,0.512,267,237,0.736,0.512,0.664,0.32
2,604,25,50,0.0001,0.01,same/different,0.408,308,296,0.688,0.536,0.64,0.408
2,604,25,50,0.0001,0.01,different/different,0.688,308,296,0.688,0.536,0.64,0.408
2,604,25,50,0.0001,0.01,same/same,0.64,308,296,0.688,0.536,0.64,0.408
2,604,25,50,0.0001,0.01,different/same,0.536,308,296,0.688,0.536,0.64,0.408
2,704,25,50,0.0001,0.01,same/different,0.712,352,352,0.424,0.712,0.464,0.712
2,704,25,50,0.0001,0.01,different/different,0.424,352,352,0.424,0.712,0.464,0.712
2,704,25,50,0.0001,0.01,same/same,0.464,352,352,0.424,0.712,0.464,0.712
2,704,25,50,0.0001,0.01,different/same,0.712,352,352,0.424,0.712,0.464,0.712
2,804,25,50,0.0001,0.01,same/different,0.512,411,393,0.648,0.48,0.696,0.512
2,804,25,50,0.0001,0.01,different/different,0.648,411,393,0.648,0.48,0.696,0.512
2,804,25,50,0.0001,0.01,same/same,0.696,411,393,0.648,0.48,0.696,0.512
2,804,25,50,0.0001,0.01,different/same,0.48,411,393,0.648,0.48,0.696,0.512
2,904,25,50,0.0001,0.01,same/different,0.592,464,440,0.592,0.56,0.696,0.592
2,904,25,50,0.0001,0.01,different/different,0.592,464,440,0.592,0.56,0.696,0.592
2,904,25,50,0.0001,0.01,same/same,0.696,464,440,0.592,0.56,0.696,0.592
2,904,25,50,0.0001,0.01,different/same,0.56,464,440,0.592,0.56,0.696,0.592
2,1004,25,50,0.0001,0.01,same/different,0.632,518,486,0.592,0.6,0.672,0.632
2,1004,25,50,0.0001,0.01,different/different,0.592,518,486,0.592,0.6,0.672,0.632
2,1004,25,50,0.0001,0.01,same/same,0.672,518,486,0.592,0.6,0.672,0.632
2,1004,25,50,0.0001,0.01,different/same,0.6,518,486,0.592,0.6,0.672,0.632
2,1104,25,50,0.0001,0.01,same/different,0.536,576,528,0.696,0.568,0.72,0.536
2,1104,25,50,0.0001,0.01,different/different,0.696,576,528,0.696,0.568,0.72,0.536
2,1104,25,50,0.0001,0.01,same/same,0.72,576,528,0.696,0.568,0.72,0.536
2,1104,25,50,0.0001,0.01,different/same,0.568,576,528,0.696,0.568,0.72,0.536
2,1204,25,50,0.0001,0.01,same/different,0.536,623,581,0.664,0.624,0.68,0.536
2,1204,25,50,0.0001,0.01,different/different,0.664,623,581,0.664,0.624,0.68,0.536
2,1204,25,50,0.0001,0.01,same/same,0.68,623,581,0.664,0.624,0.68,0.536
2,1204,25,50,0.0001,0.01,different/same,0.624,623,581,0.664,0.624,0.68,0.536
2,1304,25,50,0.0001,0.01,same/different,0.56,675,629,0.68,0.6,0.72,0.56
2,1304,25,50,0.0001,0.01,different/different,0.68,675,629,0.68,0.6,0.72,0.56
2,1304,25,50,0.0001,0.01,same/same,0.72,675,629,0.68,0.6,0.72,0.56
2,1304,25,50,0.0001,0.01,different/same,0.6,675,629,0.68,0.6,0.72,0.56
2,1404,25,50,0.0001,0.01,same/different,0.544,733,671,0.704,0.64,0.744,0.544
2,1404,25,50,0.0001,0.01,different/different,0.704,733,671,0.704,0.64,0.744,0.544
2,1404,25,50,0.0001,0.01,same/same,0.744,733,671,0.704,0.64,0.744,0.544
2,1404,25,50,0.0001,0.01,different/same,0.64,733,671,0.704,0.64,0.744,0.544
2,1504,25,50,0.0001,0.01,same/different,0.608,784,720,0.736,0.648,0.776,0.608
2,1504,25,50,0.0001,0.01,different/different,0.736,784,720,0.736,0.648,0.776,0.608
2,1504,25,50,0.0001,0.01,same/same,0.776,784,720,0.736,0.648,0.776,0.608
2,1504,25,50,0.0001,0.01,different/same,0.648,784,720,0.736,0.648,0.776,0.608
2,1604,25,50,0.0001,0.01,same/different,0.64,834,770,0.704,0.696,0.744,0.64
2,1604,25,50,0.0001,0.01,different/different,0.704,834,770,0.704,0.696,0.744,0.64
2,1604,25,50,0.0001,0.01,same/same,0.744,834,770,0.704,0.696,0.744,0.64
2,1604,25,50,0.0001,0.01,different/same,0.696,834,770,0.704,0.696,0.744,0.64
2,1704,25,50,0.0001,0.01,same/different,0.672,882,822,0.776,0.712,0.808,0.672
2,1704,25,50,0.0001,0.01,different/different,0.776,882,822,0.776,0.712,0.808,0.672
2,1704,25,50,0.0001,0.01,same/same,0.808,882,822,0.776,0.712,0.808,0.672
2,1704,25,50,0.0001,0.01,different/same,0.712,882,822,0.776,0.712,0.808,0.672
2,1804,25,50,0.0001,0.01,same/different,0.72,931,873,0.832,0.784,0.848,0.72
2,1804,25,50,0.0001,0.01,different/different,0.832,931,873,0.832,0.784,0.848,0.72
2,1804,25,50,0.0001,0.01,same/same,0.848,931,873,0.832,0.784,0.848,0.72
2,1804,25,50,0.0001,0.01,different/same,0.784,931,873,0.832,0.784,0.848,0.72
2,1904,25,50,0.0001,0.01,same/different,0.768,975,929,0.888,0.8,0.88,0.768
2,1904,25,50,0.0001,0.01,different/different,0.888,975,929,0.888,0.8,0.88,0.768
2,1904,25,50,0.0001,0.01,same/same,0.88,975,929,0.888,0.8,0.88,0.768
2,1904,25,50,0.0001,0.01,different/same,0.8,975,929,0.888,0.8,0.88,0.768
3,0,25,50,0.0001,0.01,different/same,1.0,0,0,0.0,1.0,0.04,1.0
3,0,25,50,0.0001,0.01,same/different,1.0,0,0,0.0,1.0,0.04,1.0
3,0,25,50,0.0001,0.01,different/different,0.0,0,0,0.0,1.0,0.04,1.0
3,0,25,50,0.0001,0.01,same/same,0.04,0,0,0.0,1.0,0.04,1.0
3,104,25,50,0.0001,0.01,different/same,0.96,60,44,0.192,0.96,0.464,0.944
3,104,25,50,0.0001,0.01,same/different,0.944,60,44,0.192,0.96,0.464,0.944
3,104,25,50,0.0001,0.01,different/different,0.192,60,44,0.192,0.96,0.464,0.944
3,104,25,50,0.0001,0.01,same/same,0.464,60,44,0.192,0.96,0.464,0.944
3,204,25,50,0.0001,0.01,different/same,0.016,117,87,0.992,0.016,1.0,0.024
3,204,25,50,0.0001,0.01,same/different,0.024,117,87,0.992,0.016,1.0,0.024
3,204,25,50,0.0001,0.01,different/different,0.992,117,87,0.992,0.016,1.0,0.024
3,204,25,50,0.0001,0.01,same/same,1.0,117,87,0.992,0.016,1.0,0.024
3,304,25,50,0.0001,0.01,different/same,0.48,168,136,0.592,0.48,0.76,0.76
3,304,25,50,0.0001,0.01,same/different,0.76,168,136,0.592,0.48,0.76,0.76
3,304,25,50,0.0001,0.01,different/different,0.592,168,136,0.592,0.48,0.76,0.76
3,304,25,50,0.0001,0.01,same/same,0.76,168,136,0.592,0.48,0.76,0.76
3,404,25,50,0.0001,0.01,different/same,0.912,222,182,0.12,0.912,0.336,0.984
3,404,25,50,0.0001,0.01,same/different,0.984,222,182,0.12,0.912,0.336,0.984
3,404,25,50,0.0001,0.01,different/different,0.12,222,182,0.12,0.912,0.336,0.984
3,404,25,50,0.0001,0.01,same/same,0.336,222,182,0.12,0.912,0.336,0.984
3,504,25,50,0.0001,0.01,different/same,0.512,266,238,0.712,0.512,0.784,0.68
3,504,25,50,0.0001,0.01,same/different,0.68,266,238,0.712,0.512,0.784,0.68
3,504,25,50,0.0001,0.01,different/different,0.712,266,238,0.712,0.512,0.784,0.68
3,504,25,50,0.0001,0.01,same/same,0.784,266,238,0.712,0.512,0.784,0.68
3,604,25,50,0.0001,0.01,different/same,0.488,324,280,0.816,0.488,0.864,0.52
3,604,25,50,0.0001,0.01,same/different,0.52,324,280,0.816,0.488,0.864,0.52
3,604,25,50,0.0001,0.01,different/different,0.816,324,280,0.816,0.488,0.864,0.52
3,604,25,50,0.0001,0.01,same/same,0.864,324,280,0.816,0.488,0.864,0.52
3,704,25,50,0.0001,0.01,different/same,0.856,373,331,0.48,0.856,0.52,0.832
3,704,25,50,0.0001,0.01,same/different,0.832,373,331,0.48,0.856,0.52,0.832
3,704,25,50,0.0001,0.01,different/different,0.48,373,331,0.48,0.856,0.52,0.832
3,704,25,50,0.0001,0.01,same/same,0.52,373,331,0.48,0.856,0.52,0.832
3,804,25,50,0.0001,0.01,different/same,0.728,424,380,0.656,0.728,0.72,0.768
3,804,25,50,0.0001,0.01,same/different,0.768,424,380,0.656,0.728,0.72,0.768
3,804,25,50,0.0001,0.01,different/different,0.656,424,380,0.656,0.728,0.72,0.768
3,804,25,50,0.0001,0.01,same/same,0.72,424,380,0.656,0.728,0.72,0.768
3,904,25,50,0.0001,0.01,different/same,0.688,476,428,0.664,0.688,0.824,0.768
3,904,25,50,0.0001,0.01,same/different,0.768,476,428,0.664,0.688,0.824,0.768
3,904,25,50,0.0001,0.01,different/different,0.664,476,428,0.664,0.688,0.824,0.768
3,904,25,50,0.0001,0.01,same/same,0.824,476,428,0.664,0.688,0.824,0.768
3,1004,25,50,0.0001,0.01,different/same,0.808,529,475,0.632,0.808,0.816,0.856
3,1004,25,50,0.0001,0.01,same/different,0.856,529,475,0.632,0.808,0.816,0.856
3,1004,25,50,0.0001,0.01,different/different,0.632,529,475,0.632,0.808,0.816,0.856
3,1004,25,50,0.0001,0.01,same/same,0.816,529,475,0.632,0.808,0.816,0.856
3,1104,25,50,0.0001,0.01,different/same,0.824,577,527,0.688,0.824,0.84,0.864
3,1104,25,50,0.0001,0.01,same/different,0.864,577,527,0.688,0.824,0.84,0.864
3,1104,25,50,0.0001,0.01,different/different,0.688,577,527,0.688,0.824,0.84,0.864
3,1104,25,50,0.0001,0.01,same/same,0.84,577,527,0.688,0.824,0.84,0.864
3,1204,25,50,0.0001,0.01,different/same,0.872,620,584,0.696,0.872,0.856,0.888
3,1204,25,50,0.0001,0.01,same/different,0.888,620,584,0.696,0.872,0.856,0.888
3,1204,25,50,0.0001,0.01,different/different,0.696,620,584,0.696,0.872,0.856,0.888
3,1204,25,50,0.0001,0.01,same/same,0.856,620,584,0.696,0.872,0.856,0.888
3,1304,25,50,0.0001,0.01,different/same,0.88,672,632,0.744,0.88,0.888,0.888
3,1304,25,50,0.0001,0.01,same/different,0.888,672,632,0.744,0.88,0.888,0.888
3,1304,25,50,0.0001,0.01,different/different,0.744,672,632,0.744,0.88,0.888,0.888
3,1304,25,50,0.0001,0.01,same/same,0.888,672,632,0.744,0.88,0.888,0.888
3,1404,25,50,0.0001,0.01,different/same,0.896,723,681,0.792,0.896,0.904,0.904
